hotel_name,room_id,room_name,room_type,capacity,price_per_night,currency,total_price,cancellation_policy,check_in_date,check_out_date,total_nights,scraped_timestamp
Seaview Lodge,A101,Standard City View,Double,2,95,EUR,950,Moderate,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A102,Courtyard Twin,Twin,2,90,EUR,900,Flexible,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A103,Queen Garden,Queen,2,105,EUR,1050,Strict,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A104,Family Annex,Family,4,140,EUR,1400,Moderate,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A105,Deluxe Sea Peek,Double,2,120,EUR,1200,Flexible,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A106,King Balcony,King,2,145,EUR,1450,Strict,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A107,Studio Kitchenette,Studio,3,130,EUR,1300,Moderate,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A108,Junior Suite,Suite,3,160,EUR,1600,Flexible,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A109,Accessible King,King,2,110,EUR,1100,Flexible,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Seaview Lodge,A110,Loft Double,Double,2,100,EUR,1000,Moderate,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B201,Alpine Standard,Double,2,100,EUR,1000,Flexible,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B202,Pine Twin,Twin,2,95,EUR,950,Moderate,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B203,Queen Ridge,Queen,2,115,EUR,1150,Strict,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B204,Family Chalet,Family,4,155,EUR,1550,Flexible,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B205,Deluxe Valley,Double,2,130,EUR,1300,Moderate,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B206,King Fireplace,King,2,165,EUR,1650,Strict,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B207,Studio Nook,Studio,3,135,EUR,1350,Flexible,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B208,Junior Suite Ridge,Suite,3,175,EUR,1750,Moderate,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B209,Accessible Queen,Queen,2,120,EUR,1200,Flexible,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
Mountain Crest Resort,B210,Loft Twin,Twin,2,105,EUR,1050,Moderate,20-Dec-25,30-Dec-25,10,10-12-2025 00:35
